uuid,event_id,value
5718c9b3-b180-4c09-b026-4010950d210f,253,%TEMP%\{D4A2C643-5399-4F4F-B9BF-ECB1A25644A6}\api-ms-win-system-wer-l1-1-0.dll
5718c9b3-b1ec-4bde-9de2-4eaa950d210f,253,%TEMP%\{FD68402A-8F8F-4B3D-9808-174323767296}\api-ms-win-system-advpack-l1-1-0.dll
571be428-1c90-44ba-b368-4cc302de0b81,259,AdobeWpkReg.tmp
571de60d-6454-4aa4-b4e7-4352950d210f,260,\Users\Administrator\AppData\Local\Allians\gpca.dat
5721c30b-a2d0-460e-a512-4909950d210f,270,xn----9sbmbsck6b1a4b0b.xn--p1ai
5721c30c-b1bc-4337-a175-4e5a950d210f,270,xn----ctbvdhakkrgv2h.xn--p1ai
5735c525-ea58-426b-ada0-40e4950d210f,281,%TEMP%\sysman\svchost.exe
573cbebe-d850-4067-8ebf-40f002de0b81,283,%PROGRAMFILES%\IntelRestore\
573cbebe-e558-49f7-8d5d-488902de0b81,283,%USERPROFILE%\Resent\roaming\ocp8.1\
573cbebe-4714-471d-9258-433702de0b81,283,%USERPROFILE%\AppData\Local\MMC\
573cbebe-5074-4c07-805a-466902de0b81,283,%USERPROFILE%\AppData\Local\PMG\
573cbebe-9214-450e-93c8-453002de0b81,283,%USERPROFILE%\AppData\Local\SKC\
573cbebf-cf30-435a-9ac5-4b3702de0b81,283,%USERPROFILE%\AppData\Local\CMS\
573cbebf-ec04-4898-b70f-4f8d02de0b81,283,%USERPROFILE%\AppData\Local\VRT\
573cbebf-e740-474a-9de0-489a02de0b81,283,%USERPROFILE%\AppData\Local\ioctl\
573cbebf-786c-4eed-a6e3-4f8802de0b81,283,%WINDIR%\ntshrui.dll
573cbebf-a31c-42fe-8b02-4dc802de0b81,283,%WINDIR%\hauthuid.dll
573cbebf-dca8-4933-b8ec-4dbe02de0b81,283,%WINDIR%\hlpuctf.dll
573cbebf-98b0-4d7b-a71c-44d102de0b81,283,%WINDIR%\atiml.dll
573cbec0-b3c0-4c83-85b4-47f902de0b81,283,%WINDIR%\iomus.dll
573cbec0-3e20-4c96-9f9b-47d702de0b81,283,%WINDIR%\swma.dll
573cbec0-2fac-446d-b5fb-4cdf02de0b81,283,%WINDIR%\helpldr.dll
573cbec0-79d0-4131-a734-406a02de0b81,283,%WINDIR%\rbcon.ini
573cbec0-e394-457a-929a-4fd002de0b81,283,%USERPROFILE%\AppData\Local\CMS\krman.ini
573cbec0-928c-4d97-8a8c-447a02de0b81,283,%USERPROFILE%\AppData\Local\VRT\_wputproc.dll
5743f406-6e3c-40d8-988a-6cbe950d210f,288,%PUBLIC%\Libraries\update.vbs
5743f407-9098-4ee5-af45-6cbe950d210f,288,%PUBLIC%\Libraries\dns.ps1
57441359-4138-4d05-bbfe-4b60950d210f,289,thecorporate.gift
574f365c-3784-4835-81bf-9bee950d210f,303,%APPDATA%\ddd2.dat
574f365d-d9b8-4fd3-a62f-9bee950d210f,303,%APPDATA%\pdk2.dat
574f365d-dc1c-41b7-988c-9bee950d210f,303,%APPDATA%\km48.dat
574f365d-db00-4686-a808-9bee950d210f,303,%APPDATA%\9llq.dat
574f365d-9db4-4f72-a516-9bee950d210f,303,%APPDATA%\ddqq.dat
574f365d-af2c-413c-9b91-9bee950d210f,303,%APPDATA%\834r.dat
574f365e-96a4-4dbd-854b-9bee950d210f,303,%APPDATA%\gi4q.dat
574f365e-9204-40a5-a8c7-9bee950d210f,303,%APPDATA%\wu3w.dat
574f365e-85b8-4139-879f-9bee950d210f,303,%APPDATA%\qq34.dat
574f365e-e6e8-47cf-86e4-9bee950d210f,303,%APPDATA%\dqd6.dat
574f365e-83e8-468a-b709-9bee950d210f,303,%APPDATA%\w4ff.dat
574f365f-2f90-4390-b60f-9bee950d210f,303,%APPDATA%\ok4l.dat
574f365f-1c60-45e9-abfb-9bee950d210f,303,%APPDATA%\kfii.dat
574f365f-2a9c-450d-a3ff-9bee950d210f,303,%APPDATA%\ie31.dat
574f365f-f604-40f2-9ff6-9bee950d210f,303,%APPDATA%\4433.dat
574f36a8-4628-4ceb-8f71-483c950d210f,303,%APPDATA%\API32.DLL
574f36a9-c108-484f-b638-450b950d210f,303,%APPDATA%\dlg.dll
574f36a9-e55c-4242-9415-485d950d210f,303,%APPDATA%\mm.dll
574f36a9-5270-41fb-ba5d-474b950d210f,303,%APPDATA%\setup.dll
574f36a9-b548-49fa-b8fe-4022950d210f,303,%APPDATA%\help.dll
574f36a9-a0ac-41ee-a1f3-4cf9950d210f,303,%APPDATA%\mi.dll
574f36a9-2f0c-42d3-8b04-4abb950d210f,303,%APPDATA%\http.dll
574f36aa-b4d0-4940-93b3-45a5950d210f,303,%APPDATA%\wapi.dll
574f36aa-f5c4-4955-9c09-41be950d210f,303,%APPDATA%\ER32.DLL
574f36aa-0570-45cc-8930-4bcb950d210f,303,%APPDATA%\core.dll
574f36aa-ea00-4f8d-ba2d-4793950d210f,303,%APPDATA%\theme.dll
574f36aa-6668-4576-9fc9-481a950d210f,303,%APPDATA%\vw.dll
574f36aa-4ecc-4266-8d4f-49df950d210f,303,%APPDATA%\el32.dll
574f36ab-01a8-4cb5-91dc-4ee0950d210f,303,%APPDATA%\sta.dll
574f36ab-4d24-4350-bed4-4f72950d210f,303,%APPDATA%\p10.dll
574f36ab-55a0-489c-acf0-4be1950d210f,303,%APPDATA%\fc.dll
574f36ab-825c-455b-bd9b-4fb0950d210f,303,%APPDATA%\in_32.dll
574f36ab-2204-459c-a10e-40fb950d210f,303,%APPDATA%\pool.drv
574f36ab-b518-415f-8162-4015950d210f,303,%APPDATA%\env.dll
574f36ac-f478-4c48-960f-48ca950d210f,303,%APPDATA%\man.dll
5770f3e4-5d3c-49b9-9751-44de950d210f,319,Photos.zip
577378ba-1568-4129-8de3-dbf8950d210f,329,54.93.1015
577379fd-1820-434b-8073-c9c8950d210f,329,postdanmark.menu
577c19ed-6948-4ef9-bfb4-409d02de0b81,340,Com.andr0id. cmvchinme
577c19ee-718c-4284-a54d-416302de0b81,340,Com.swiping.whale
577c19ee-a790-45dd-ac5b-438c02de0b81,340,Com.andr0id.cmvchinmf
577c19ef-38e4-414f-a4d9-404a02de0b81,340,com.quick.launcher
57821e98-b884-41df-b65d-29f902de0b81,341,2015nianshijiexiaoxuanshou.doc
57821e99-1044-4364-aa9c-29f902de0b81,341,7GeopoliticalConsequencetoAnticipateinAsiainEarly2016_1.doc
57821e99-2b40-43e7-b0a0-29f902de0b81,341,7GeopoliticalConsequencetoAnticipateinAsiainEarly2016_2.doc
57821e99-fdc0-4c27-b1ec-29f902de0b81,341,ABiggerBolderChinain2016_1.doc
57821e9a-76a0-45e5-9519-29f902de0b81,341,ABiggerBolderChinain2016_2.doc
57821e9a-e2a4-4aaf-880b-29f902de0b81,341,aeropower.pps
57821e9b-cc50-417f-a9bc-29f902de0b81,341,australia_fonops_1.pps
57821e9b-8848-4717-b20f-29f902de0b81,341,australia_fonops_2.pps
57821e9c-82fc-4e21-8cad-29f902de0b81,341,aviation_1.pps
57821e9c-8e1c-4433-b256-29f902de0b81,341,aviation_2.pps
57821e9c-a374-42ff-8bfb-29f902de0b81,341,beauty3.pps
57821e9d-65d0-44d0-8a4b-29f902de0b81,341,beauty6.pps
57821e9d-ebcc-4708-83a4-29f902de0b81,341,CHINA_FEAR_US_3.pps
57821e9e-5340-4226-af27-29f902de0b81,341,CHINA_FEAR_US_6.pps
57821e9e-ea3c-4470-84a2-29f902de0b81,341,ChinainSyria.doc
57821e9f-0e60-4a83-a79b-29f902de0b81,341,chinamilstrat1.doc
57821e9f-bef8-4b57-9374-29f902de0b81,341,chinamilstrat2.doc
57821e9f-fa20-4aa7-9010-29f902de0b81,341,chinamilstrength.pps
57821ea0-ccc0-43a7-8c9e-29f902de0b81,341,China_Response_NKorea_Nuclear_Test1.pps
57821ea0-3e88-4a42-b513-29f902de0b81,341,China_Response_NKorea_Nuclear_Test2.pps
57821ea1-feb4-4a04-91b6-29f902de0b81,341,chinascyberarmy2015_1.pps
57821ea1-8bc0-4b71-8220-29f902de0b81,341,chinascyberarmy2015_2.pps
57821ea1-6f0c-4eac-8ade-29f902de0b81,341,ChinasMilitaryIntelligenceSystemisChanging_1.doc
57821ea2-80a8-405e-bd3c-29f902de0b81,341,ChinasMilitaryIntelligenceSystemisChanging_2.doc
57821ea2-26b4-4a27-9fd1-29f902de0b81,341,CHINAâ€™S_PUZZLING_DEFENSE_AGREEMENT_WITH_AUSTRALIA_1.doc
57821ea3-5f94-4524-b33f-29f902de0b81,341,CHINAâ€™S_PUZZLING_DEFENSE_AGREEMENT_WITH_AUSTRALIA_1.pps
57821ea3-f26c-4487-b6c3-29f902de0b81,341,CHINAâ€™S_PUZZLING_DEFENSE_AGREEMENT_WITH_AUSTRALIA_2.doc
57821ea3-9b28-48a1-b6b5-29f902de0b81,341,CHINAâ€™S_PUZZLING_DEFENSE_AGREEMENT_WITH_AUSTRALIA_2.pps
57821ea3-a960-47e1-ae5e-29f902de0b81,341,ChinatoReceive_S-400_Missiles.doc
57821ea4-0f54-4119-b1d0-29f902de0b81,341,China_two_child_policy_will_underwhelm1.doc
57821ea4-dd48-4516-856d-29f902de0b81,341,China_two_child_policy_will_underwhelm1.pps
57821ea4-5e44-48c7-a680-29f902de0b81,341,ChinaUS_1.pps
57821ea5-c578-4777-840d-29f902de0b81,341,ChinaUS_2.pps
57821ea5-add4-4293-a881-29f902de0b81,341,chinesemilstrat_1.pps
57821ea6-b7c8-4c14-ad54-29f902de0b81,341,chinesemilstrat_2.pps
57821ea6-d690-4a11-a5a1-29f902de0b81,341,cppcc_1.pps
57821ea7-9228-4eda-a4a7-29f902de0b81,341,cppcc_2.pps
57821ea7-f604-49b8-91d9-29f902de0b81,341,Dev_Kumar_Sunuwar.doc
57821ea7-6668-4a0a-bb3b-29f902de0b81,341,election.pps
57821ea8-d410-47d1-a017-29f902de0b81,341,enggmarvels_1.pps
57821ea8-bba4-4a5c-a4a3-29f902de0b81,341,enggmarvels_2.pps
57821ea9-4f38-41ae-ba26-29f902de0b81,341,fengnew33.pps
57821ea9-eb28-4e15-9164-29f902de0b81,341,fengnew36.pps
57821eaa-78a8-4263-8f9a-29f902de0b81,341,fengnew63.pps
57821eaa-1fe4-4580-8660-29f902de0b81,341,fengnew66.pps
57821eaa-c25c-4e8d-bc20-29f902de0b81,341,final.doc
57821eaa-7eac-450a-a24d-29f902de0b81,341,FinancialCrisisChina.doc
57821eab-5654-46ea-9abb-29f902de0b81,341,futuredrones_1.pps
57821eab-845c-48b7-becf-29f902de0b81,341,futuredrones_2.pps
57821eac-d76c-4c0d-a838-29f902de0b81,341,gaokaonewreforms_1.doc
57821eac-5f40-4d67-9593-29f902de0b81,341,gaokaonewschedule_1.pps
57821ead-dc30-4d34-9206-29f902de0b81,341,gaokaonewschedule_2.pps
57821ead-92c4-43a4-8c9a-29f902de0b81,341,harbin_1.pps
57821ead-8870-40cd-a221-29f902de0b81,341,Heart_Valve_Replacement.doc
57821eae-8d84-4d86-8e79-29f902de0b81,341,Implication_China_mil_reforms_1.doc
57821eae-8104-457d-bec1-29f902de0b81,341,Implication_China_mil_reforms_1.pps
57821eae-f0b0-4bea-a7a3-29f902de0b81,341,ISIS_Bet_Part1.doc
57821eaf-8aa4-4d8e-a289-29f902de0b81,341,ISIS_Bet_Part2.doc
57821eaf-d1b0-4689-9e13-29f902de0b81,341,japan_pivot_1.pps
57821eaf-df1c-46a3-ae1a-29f902de0b81,341,japan_pivot_2.pps
57821eb0-5c90-407d-86a4-29f902de0b81,341,jtopcentrecomn.pps
57821eb0-e810-4048-b2eb-29f902de0b81,341,korea1.pps
57821eb1-ddac-4c48-81b1-29f902de0b81,341,militarizationofsouthchinasea_1.pps
57821eb1-1788-48de-8cd3-29f902de0b81,341,militarizationofsouthchinasea_2.pps
57821eb1-ef30-4587-92be-29f902de0b81,341,MilitaryReforms1.pps
57821eb2-0c10-4226-a7b0-29f902de0b81,341,MilitaryReforms2.pps
57821eb2-752c-446f-bf65-29f902de0b81,341,MilReform_1.doc
57821eb3-70a0-4606-adc5-29f902de0b81,341,MilReform_2.doc
57821eb3-42d0-49d7-b4f7-29f902de0b81,341,MilReforms_1.pps
57821eb3-0ba8-4c90-a1fe-29f902de0b81,341,MilReforms_2.pps
57821eb4-163c-4ffb-bf6b-29f902de0b81,341,my_lovely_pics_3.pps
57821eb4-3410-42e5-be57-29f902de0b81,341,my_lovely_pics_6.pps
57821eb4-a1e8-40f0-8846-29f902de0b81,341,my_photos_3.pps
57821eb5-7f3c-47a2-860b-29f902de0b81,341,my_photos_6.pps
